,Musik,,,
,,,,
google.de,Suchbegriff,Link zum Suchergebnis,Überschrift,Beschreibung
Achtziger,"""music 80s""",http://www.nme.com/list/100-best-songs-of-the-1980s/266358,100 BEST TRACKS OF THE EIGHTIES - NME 60 YEARS OF NEW MUSIC,Durch NME zusammengestellte Top 100 Liste
,,http://www.80smusicvids.com/,"Over 1,000 classic music videos from the 1980's",Liste von Musikvideos aus den Achtzigern
,,http://www.lastfm.de/tag/80s,Musik mit dem Tag “80s”,"Musik mit dem ""80s""-Tag"
Neunziger,"""music 90s""",http://top40.about.com/od/hitsofthe90s/tp/top1001990s.-CSM.htm,This is admittedly a subjective list based on judgements of quality instead of sales figures or radio airplay.,Subjektiv kumulierte Top 100 Liste
,,http://www.popculturemadness.com/Entertainment/Decades/90s/Music.html,PCM's Official List of 1990s Songs By Category,Verschiedene Top Listen nach Kategorien
,,http://www.mtv.co.uk/music/charts/official-uk-countdowns/the-official-top-100-singles-of-the-90s,The Official Top 100 Singles of The 90's,Liste von Musikvideos
Vietnamkrieg,"""music vietnam war""",http://en.wikipedia.org/wiki/List_of_songs_about_the_Vietnam_War,List of songs about the Vietnam War,Liste von Liedern über den Vietnamkrieg
,,http://en.wikipedia.org/wiki/Miss_Saigon,Miss Saigon,Artikel über Miss Saigon
,,http://www.ichiban1.org/html/music.htm,Top 10 Hits of the Vietnam War era,Liste der Top Ten Hits jedes Jahres während des Krieges
David Bowie - Changes,"""david bowie changes music""",http://waxing-lyrical.squidoo.com/david-bowie-glam-rock-years,David Bowie: The Glam Rock Years,musikgeschichtlicher Text
,,http://uncyclopedia.wikia.com/wiki/David_Bowie,David Bowie,Biographischer Text
,,http://vermontreview.tripod.com/essays/glam.htm,Glam Rock: Then and Now,musikgeschichtlicher Text
en.wikipedia.org,,,,
Achtziger,"""music 80s""",http://en.wikipedia.org/wiki/1980s_in_music,1980s in music,musikgeschichtlicher Text
,,http://en.wikipedia.org/wiki/Now_That%27s_What_I_Call_Music!_discography,Now That's What I Call Music! discography,Liste von Kompilationen
,,http://en.wikipedia.org/wiki/Now_That%27s_What_I_Call_the_80s_(U.S._series),Now That's What I Call the 80s (U.S. series),Track Liste eines Kompilation Albums der Serie
Neunziger,"""music 90s""",http://en.wikipedia.org/wiki/1990s_in_music,1990s in music,musikgeschichtlicher Text
,,http://en.wikipedia.org/wiki/Now_That%27s_What_I_Call_Music!_discography,Now That's What I Call Music! discography,Liste von Kompilationen
,,http://en.wikipedia.org/wiki/Absolute_Radio,Absolute Radio,Artikel über einen Radiosender
Vietnamkrieg,"""music vietnam war""",http://en.wikipedia.org/wiki/United_States_Marine_Corps,United States Marine Corps,Artikel über die US-Marines
,,http://en.wikipedia.org/wiki/Vietnam,Vietnam,Artikel über Vietnam
,,http://en.wikipedia.org/wiki/Richard_Nixon,Richard Nixon,Artikel über Richard Nixon
David Bowie - Changes,"""david bowie changes music""",http://en.wikipedia.org/wiki/Mick_Ronson,Mick Ronson,Artikel über Mick Ronson
,,http://en.wikipedia.org/wiki/Mick_Woodmansey,Mick Woodmansey,Artikel über Mick Woodmansey
,,http://en.wikipedia.org/wiki/Trident_Studios,Trident Studios,Artikel über Trident Studios
Amazon.de,,,,
Achtziger,"""80s"" mit Filter ""Music""",http://www.amazon.com/3-Pak-80s-Pop-Hits/dp/B00005NKKN,3 Pak: 80's Pop Hits [Box Set],Kompilation
,,http://www.amazon.com/Pure-80s-1s/dp/B000ENWKMY,Pure 80's #1s,Kompilation
,,http://www.amazon.com/Big-Hits-80s/dp/B000002T8I,Big Hits of 80's,Kompilation
Neunziger,"""90s"" mit Filter ""Music""",http://www.amazon.com/Forever-90s/dp/B0007YMVC4,Forever 90s,Kompilation
,,http://www.amazon.com/100-Essential-Hits-90s/dp/B002R6QUQ8,"100 Essential Hits of the 90's [Box Set, Import]",Kompilation
,,http://www.amazon.com/Now-Thats-What-Call-1990s/dp/B0043URV46,"
Now That's What I Call The 1990s",Kompilation
Vietnamkrieg,"""vietnam war"" mit Filter ""Music""",http://www.amazon.com/Things-They-Carried-Tim-OBrien-ebook/dp/B002TWIVNA,The Things They Carried [Kindle Edition],E-Book
,,http://www.amazon.com/Vietnam-War-Years-1/dp/B0002XEDZ8,Vietnam War Years 1,Kompilation
,,http://www.amazon.com/Country-Folk-Songs-Americans-Vietnam/dp/B000000MQN,In Country: Folk Songs of Americans in the Vietnam War,Kompilation
David Bowie - Changes,"""david bowie changes""",http://www.amazon.com/Changesbowie-David-Bowie/dp/B00000DTQD,Changesbowie [Import],Album
,,http://www.amazon.com/Best-David-Bowie/dp/B00006L736,Best of David Bowie [Original Recording Remastered],Album
,,http://www.amazon.com/Hunky-Dory-David-Bowie/dp/B00001OH7O,"Hunky Dory [Enhanced, Original Recording Reissued]",Album
lastfm.de,,,,
Achtziger,"""80s""",http://www.lastfm.de/tag/80s,Musik mit dem Tag “80s”,Tag-Radio
,,http://www.lastfm.de/music/Various+Artists/Punk+Goes+80%27s,Punk Goes 80's ,Kompilation
,,http://www.lastfm.de/music/Miami+Sound+Machine/The+Definitive+80%27s+(eighties),The Definitive 80's (eighties),Kompilation
Neunziger,"""90s""",http://www.lastfm.de/tag/90s,Musik mit dem Tag “90s”,Tag-Radio
,,http://www.lastfm.de/music/Ben+Liebrand/Grandmix:+The+90%27s+Edition+(Mixed+by+Ben+Liebrand)+(disc+2),Grandmix: The 90's Edition (Mixed by Ben Liebrand) (disc 2),Kompilation
,,http://www.lastfm.de/music/Ace+of+Base/Singles+Of+The+90%27s,Singles Of The 90's,Kompilation von Ace Of Base
Vietnamkrieg,"""vietnam-war""",http://www.lastfm.de/tag/vietnam%20war,Musik mit dem Tag “vietnam war”,Tag-Radio
,,http://www.lastfm.de/music/The+Vietnam+War/The+Vietnam+War,The Vietnam War,Album von The Vietnam War
,,http://www.lastfm.de/music/Dr.+Sound+Effects/Anti-Vietnam+War+Demonstrations,Anti-Vietnam War Demonstrations,Album von Dr. Sound Effects
David Bowie - Changes,"""david bowie changes""",http://www.lastfm.de/music/David+Bowie/_/Changes,Changes,Song
,,http://www.lastfm.de/music/David+Bowie/ChangesBowie,ChangesBowie,Album
,,http://www.lastfm.de/music/David+Bowie/Changes,Changes,Song
Spotify App,,,,
Achtziger,"""80s""",http://open.spotify.com/user/johannorin/playlist/58JZmDG1Pe1ppoCEC1aOQp,80s,Playlist
,,http://open.spotify.com/user/burrjt/playlist/29dTrOurPDrMcrnio2q6hZ,80s / Classic Rock,Playlist
,,http://open.spotify.com/user/warnerbros.records/playlist/1VgRf3OQ9rhLyuWzyEDfoi,Decades of Rock - 80s,Playlist
Neunziger,"""90s""",http://open.spotify.com/user/1220108378/playlist/7zK2WjuX5otv9au92VXsKc,Ultimate 90s Playlist,Playlist
,,http://open.spotify.com/user/sam85uk/playlist/5TcHWbnN6SIhvPY1MXMDrb,90s,Playlist
,,http://open.spotify.com/user/myplay.com/playlist/20LKsiDZd4ALrlihncFcFa,90s Alternative Rock,Playlist
Vietnamkrieg,"""vietnam war""",http://open.spotify.com/user/1225379340/playlist/54a4Lsi1OdU4T4XV3ysQBU,Vietnam War Era Music,Playlist
,,http://open.spotify.com/user/danny265/playlist/6V6ERAyuQvOIooJJLD1WUj,The best vietnam war songs album eve...,Playlist
,,http://open.spotify.com/user/mrhumble/playlist/4G4ew8qkJHqFgLGaMzoz71,Vietnam War - The best playlist in the ...,Playlist
David Bowie - Changes,"""david bowie changes""",http://open.spotify.com/user/1238377967/playlist/5b9mWo4PFDqCddejdGLlQB,David Bowie's Changes,Playlist
